Variable 1,Variable 2,Correlation Coefficient,p Value,Absolute Value of Correlation,Correlation Strength,Direction
RoadsBuf,WetlandBuf,0.052445248131451475,0.6617301926118606,0.052445248131451475,Very Weak,Positive
RoadsBuf,Solar,0.0511300884421687,0.6697149131908617,0.0511300884421687,Very Weak,Positive
h2oVegHt,RoadsRCA,-0.05079880740774344,0.6717320333903922,0.05079880740774344,Very Weak,Negative
BurnBuf,LakesRCA,-0.050765345993513684,0.6719359038546213,0.050765345993513684,Very Weak,Negative
DevelopBuf,h2oLakesPe,0.05068032441039908,0.6724540213082917,0.05068032441039908,Very Weak,Positive
BurnRCA,h2oHiCascP,0.049861940309301175,0.6774489681983635,0.049861940309301175,Very Weak,Positive
h2oDevelop,SumPrecip,0.04979552818504803,0.6778549226298338,0.04979552818504803,Very Weak,Positive
h2oWetland,RoadsBuf,0.049583358283274155,0.6791524569162088,0.049583358283274155,Very Weak,Positive
SumPrecip,VegHtBuf,0.04942183054712464,0.680140911090904,0.04942183054712464,Very Weak,Positive
AgBuf,h2oKm2,0.04892120329081649,0.6832078650491544,0.04892120329081649,Very Weak,Positive
h2oVegCov,Solar,0.04512088280640474,0.7066533715280265,0.04512088280640474,Very Weak,Positive
Forest21,MeanMaxAir,-0.044758236380900374,0.7089053813619435,0.044758236380900374,Very Weak,Negative
h2oKm2,LakesRCA,-0.043615766169758284,0.7160162536097263,0.043615766169758284,Very Weak,Negative
h2oKm2,VegHeight_,0.04327166629794553,0.7181627363672265,0.04327166629794553,Very Weak,Positive
BFI,RoadsBuf,0.042951323576921205,0.7201629812634502,0.042951323576921205,Very Weak,Positive
BurnBuf,h2oVegCov,-0.04236498247038399,0.7238289908438393,0.04236498247038399,Very Weak,Negative
BurnBuf,thermalSensitivity,-0.042142630868638814,0.7252208385693943,0.042142630868638814,Very Weak,Negative
DevelopRCA,RoadsBuf,-0.04129859390781462,0.7305122863503375,0.04129859390781462,Very Weak,Negative
AgBuf,Solar,0.04119650106334066,0.7311531854692688,0.04119650106334066,Very Weak,Positive
h2oVegCov,RoadsBuf,0.04097005388381827,0.7325753874630165,0.04097005388381827,Very Weak,Positive
Shrub21,WetlandBuf,0.04085587621282806,0.7332928217750829,0.04085587621282806,Very Weak,Positive
BurnRCA,HiCascRCA,-0.04070973949405593,0.7342114030325546,0.04070973949405593,Very Weak,Negative
AgricultRC,SumPrecip,0.03967783284292071,0.7407082545537484,0.03967783284292071,Very Weak,Positive
h2oLakesPe,MeanMaxAir,0.03943431027072793,0.7422441265416595,0.03943431027072793,Very Weak,Positive
Elev,h2oLakesPe,-0.03925585092247743,0.7433702897358965,0.03925585092247743,Very Weak,Negative
BurnBuf,VegHeight_,0.03821456378310832,0.7499519518094773,0.03821456378310832,Very Weak,Positive
Shrub21,VegHeight_,0.037842054064195885,0.7523108336015114,0.037842054064195885,Very Weak,Positive
BurnRCA,LakesRCA,-0.037321873246828105,0.7556086144835661,0.037321873246828105,Very Weak,Negative
h2oKm2,WetlandBuf,0.036981164984490826,0.7577709643685291,0.036981164984490826,Very Weak,Positive
BurnRCA,Forest21,-0.03685549287379415,0.7585690283632047,0.03685549287379415,Very Weak,Negative
h2oLakesPe,MaxAir_C,0.035825942010661325,0.7651164620485595,0.035825942010661325,Very Weak,Positive
RoadsRCA,thermalSensitivity,-0.03574874588454781,0.7656080600722568,0.03574874588454781,Very Weak,Negative
h2oKm2,LakesBuf,0.03501140524549245,0.7703081991495289,0.03501140524549245,Very Weak,Positive
h2oLakesPe,meanStreamTemp,0.034982940471349006,0.7704898131379729,0.034982940471349006,Very Weak,Positive
BFI,h2oKm2,0.0347666681882381,0.7718700981507503,0.0347666681882381,Very Weak,Positive
BurnBuf,HiCascRCA,0.033633521231194195,0.7791134859466071,0.033633521231194195,Very Weak,Positive
AgricultRC,h2oKm2,-0.03311868755934932,0.7824106969743099,0.03311868755934932,Very Weak,Negative
h2oVegCov,SumPrecip,-0.0323542894917315,0.7873132703560866,0.0323542894917315,Very Weak,Negative
Elev,RoadsBuf,-0.032302867981748445,0.787643367927269,0.032302867981748445,Very Weak,Negative
Forest21,RoadsBuf,0.031755070676226495,0.7911622285781099,0.031755070676226495,Very Weak,Positive
Elev,Shrub21,0.031199993576090105,0.7947321043488125,0.031199993576090105,Very Weak,Positive
DevelopBuf,h2oKm2,-0.030794185942692624,0.7973446495350467,0.030794185942692624,Very Weak,Negative
BurnBuf,h2oVegHt,-0.03055167005075769,0.7989070033522891,0.03055167005075769,Very Weak,Negative
h2oBurnPer,VegHtBuf,0.03004676684690257,0.8021622496894083,0.03004676684690257,Very Weak,Positive
BFI,h2oLakesPe,0.029205465463325527,0.8075937892199647,0.029205465463325527,Very Weak,Positive
BurnBuf,VegHtBuf,0.028844254966354684,0.8099286099153389,0.028844254966354684,Very Weak,Positive
Shrub21,VegHtBuf,-0.028514220933199875,0.8120633581306409,0.028514220933199875,Very Weak,Negative
h2oRdDens,HiCascBuf,-0.027023766755109774,0.8217208288314393,0.027023766755109774,Very Weak,Negative
Forest21,MaxAir_C,0.026037939166610746,0.8281231971937564,0.026037939166610746,Very Weak,Positive
HiCascBuf,WetlandBuf,-0.02591903547079662,0.8288961709379072,0.02591903547079662,Very Weak,Negative
Forest21,SLOPE,-0.025365932449742005,0.832493924070991,0.025365932449742005,Very Weak,Negative
h2oRdDens,thermalSensitivity,-0.025284195983681253,0.8330258860340551,0.025284195983681253,Very Weak,Negative
h2oBurnPer,meanStreamTemp,-0.023765099312797924,0.8429259261146189,0.023765099312797924,Very Weak,Negative
LakesBuf,Solar,-0.023123527867256067,0.8471144834031918,0.023123527867256067,Very Weak,Negative
HiCascRCA,RoadsRCA,-0.023019645359873307,0.8477930906296276,0.023019645359873307,Very Weak,Negative
h2oLakesPe,Precip_mm,-0.022955021297298737,0.8482152997907253,0.022955021297298737,Very Weak,Negative
h2oAgricul,h2oLakesPe,0.022559659925722397,0.8507992425190576,0.022559659925722397,Very Weak,Positive
h2oHiCascP,MeanMaxAir,-0.021658094012700108,0.8566973837828684,0.021658094012700108,Very Weak,Negative
DevelopBuf,SumPrecip,-0.020539070902359943,0.8640290229987653,0.020539070902359943,Very Weak,Negative
MaxAir_C,Solar,-0.01973335049831498,0.8693150980147761,0.01973335049831498,Very Weak,Negative
h2oBurnPer,RoadsRCA,0.019219571466597925,0.8726888398779811,0.019219571466597925,Very Weak,Positive
Shrub21,thermalSensitivity,0.01767321448277069,0.8828564688028959,0.01767321448277069,Very Weak,Positive
h2oLakesPe,MeanAirJJA,0.01762301284157531,0.8831868811869661,0.01762301284157531,Very Weak,Positive
DevelopRCA,SumPrecip,0.016657273257063725,0.8895468989240345,0.016657273257063725,Very Weak,Positive
BurnBuf,h2oHiCascP,-0.016222118755028842,0.8924149711212825,0.016222118755028842,Very Weak,Negative
h2oDevelop,h2oLakesPe,0.015463007376319208,0.8974214956344766,0.015463007376319208,Very Weak,Positive
h2oAgricul,SumPrecip,0.015104135710325114,0.8997897455886565,0.015104135710325114,Very Weak,Positive
h2oLakesPe,VegHeight_,-0.015029014735605846,0.9002855918006842,0.015029014735605846,Very Weak,Negative
h2oKm2,HiCascBuf,-0.014693412850038763,0.9025012400821035,0.014693412850038763,Very Weak,Negative
RoadsBuf,WetPrecip,-0.014056390682269526,0.9067088997383053,0.014056390682269526,Very Weak,Negative
h2oAgricul,RoadsBuf,0.012774773186204529,0.9151818902177835,0.012774773186204529,Very Weak,Positive
BurnRCA,RoadsBuf,-0.012737389751746039,0.9154291846810809,0.012737389751746039,Very Weak,Negative
BurnBuf,meanStreamTemp,0.01201699021996469,0.92019622277115,0.01201699021996469,Very Weak,Positive
h2oVegHt,RoadsBuf,0.01141101422098479,0.9242082766676283,0.01141101422098479,Very Weak,Positive
BurnBuf,WetlandsRC,-0.011367515330661875,0.9244963484737443,0.011367515330661875,Very Weak,Negative
Forest21,RoadsRCA,-0.010518105135863761,0.9301234714622755,0.010518105135863761,Very Weak,Negative
LakesBuf,MaxAir_C,0.01014358806925264,0.9326056528621924,0.01014358806925264,Very Weak,Positive
BurnRCA,VegCover,-0.009916277665657914,0.9341125090416611,0.009916277665657914,Very Weak,Negative
BurnRCA,HiCascBuf,0.00990430919498329,0.9341918552984105,0.00990430919498329,Very Weak,Positive
DevelopRCA,h2oKm2,0.009221460357084222,0.9387199102785453,0.009221460357084222,Very Weak,Positive
RoadsBuf,thermalSensitivity,-0.009203320674332972,0.9388402238315607,0.009203320674332972,Very Weak,Negative
HiCascRCA,WetlandBuf,-0.007695546994367259,0.9488452269757652,0.007695546994367259,Very Weak,Negative
h2oLakesPe,WetPrecip,-0.004735983341337424,0.9685052720839238,0.004735983341337424,Very Weak,Negative
h2oKm2,thermalSensitivity,-0.004405605090907665,0.9707013153903921,0.004405605090907665,Very Weak,Negative
h2oBurnPer,WetlandsRC,-0.0037970742168285166,0.9747468122054861,0.0037970742168285166,Very Weak,Negative
Precip_mm,RoadsBuf,-0.0034818582423970386,0.9768426158493797,0.0034818582423970386,Very Weak,Negative
BurnBuf,RoadsBuf,0.0033484281775923563,0.9777298117727338,0.0033484281775923563,Very Weak,Positive
BurnRCA,meanStreamTemp,0.0029183330414360486,0.9805897549982834,0.0029183330414360486,Very Weak,Positive
h2oLakesPe,meanAirTemp,-0.002804688685750529,0.9813454821558056,0.002804688685750529,Very Weak,Negative
h2oBurnPer,SumPrecip,0.0027694146682722236,0.9815800553107257,0.0027694146682722236,Very Weak,Positive
h2oKm2,HiCascRCA,-0.002129445006178909,0.9858361215000473,0.002129445006178909,Very Weak,Negative
HiCascBuf,RoadsBuf,0.0011845078087405927,0.9921210362056121,0.0011845078087405927,Very Weak,Positive
RoadsBuf,WetlandsRC,-1.4719486560401253e-4,0.9990208919139487,1.4719486560401253e-4,Very Weak,Negative
